"ID";"RegioS";"Perioden";"GeenKerkelijkeGezindte_1";"TotaalKerkelijkeGezindte_2";"RoomsKatholiek_3";"ProtestantseKerkInNederland_4";"NederlandsHervormd_5";"Gereformeerd_6";"Islam_7";"OverigeGezindte_8";"EenKeerPerWeekOfVaker_9";"TweeTotDrieKeerPerMaand_10";"EenKeerPerMaand_11";"MinderDanEenKeerPerMaand_12";"ZeldenOfNooit_13"
"0";"NL01  ";"2010JJ00";"      45";"      55";"      27";"       6";"       8";"       4";"       5";"       5";"      10";"       4";"       4";"       8";"      74"
"1";"NL01  ";"2011JJ00";"      47";"      53";"      26";"       6";"       7";"       4";"       5";"       5";"      10";"       4";"       3";"       8";"      75"
"2";"NL01  ";"2012JJ00";"      48";"      52";"      26";"       6";"       7";"       3";"       5";"       5";"      10";"       3";"       3";"       7";"      76"
"3";"NL01  ";"2013JJ00";"      47";"      53";"      26";"       5";"       7";"       4";"       5";"       6";"      10";"       4";"       3";"       7";"      77"
"4";"NL01  ";"2014JJ00";"      49";"      51";"      24";"       6";"       7";"       3";"       5";"       6";"      10";"       3";"       3";"       7";"      77"
"5";"LD01  ";"2010JJ00";"      57";"      43";"       7";"      11";"      11";"       8";"       1";"       5";"      11";"       4";"       3";"       5";"      77"
"6";"LD01  ";"2011JJ00";"      57";"      43";"       7";"      11";"      10";"       8";"       2";"       6";"      11";"       5";"       3";"       5";"      77"
"7";"LD01  ";"2012JJ00";"      59";"      42";"       7";"      12";"      10";"       7";"       1";"       5";"      11";"       4";"       3";"       5";"      77"
"8";"LD01  ";"2013JJ00";"      59";"      41";"       8";"       9";"       9";"       8";"       1";"       6";"      10";"       4";"       3";"       5";"      79"
"9";"LD01  ";"2014JJ00";"      62";"      38";"       6";"      11";"       8";"       7";"       2";"       6";"      10";"       4";"       3";"       5";"      79"
"10";"LD02  ";"2010JJ00";"      42";"      58";"      24";"       8";"      13";"       5";"       3";"       5";"      13";"       5";"       4";"       8";"      71"
"11";"LD02  ";"2011JJ00";"      45";"      55";"      23";"       7";"      11";"       6";"       3";"       6";"      13";"       4";"       4";"       8";"      72"
"12";"LD02  ";"2012JJ00";"      45";"      55";"      21";"       7";"      12";"       5";"       4";"       6";"      14";"       4";"       3";"       7";"      72"
"13";"LD02  ";"2013JJ00";"      45";"      55";"      22";"       7";"      11";"       5";"       4";"       6";"      13";"       4";"       3";"       7";"      73"
"14";"LD02  ";"2014JJ00";"      47";"      53";"      20";"       7";"      11";"       5";"       4";"       5";"      13";"       4";"       3";"       6";"      74"
"15";"LD03  ";"2010JJ00";"      53";"      47";"      17";"       6";"       7";"       4";"       6";"       6";"      11";"       4";"       3";"       6";"      77"
"16";"LD03  ";"2011JJ00";"      54";"      46";"      17";"       6";"       7";"       4";"       7";"       6";"      11";"       3";"       3";"       6";"      78"
"17";"LD03  ";"2012JJ00";"      54";"      46";"      17";"       6";"       7";"       3";"       7";"       6";"      10";"       3";"       3";"       5";"      79"
"18";"LD03  ";"2013JJ00";"      53";"      47";"      17";"       5";"       7";"       3";"       7";"       7";"      11";"       3";"       3";"       6";"      78"
"19";"LD03  ";"2014JJ00";"      55";"      45";"      16";"       6";"       6";"       3";"       7";"       7";"      11";"       3";"       3";"       6";"      78"
"20";"LD04  ";"2010JJ00";"      28";"      72";"      61";"       2";"       2";"       1";"       4";"       3";"       7";"       4";"       5";"      14";"      71"
"21";"LD04  ";"2011JJ00";"      29";"      71";"      60";"       2";"       2";"       1";"       4";"       2";"       7";"       3";"       5";"      13";"      73"
"22";"LD04  ";"2012JJ00";"      31";"      69";"      58";"       2";"       2";"       1";"       4";"       3";"       6";"       3";"       4";"      11";"      76"
"23";"LD04  ";"2013JJ00";"      30";"      70";"      58";"       2";"       2";"       1";"       5";"       3";"       6";"       3";"       4";"      11";"      76"
"24";"LD04  ";"2014JJ00";"      34";"      66";"      55";"       2";"       2";"       1";"       4";"       3";"       6";"       3";"       4";"      11";"      77"
"25";"PV20  ";"2010JJ00";"      61";"      39";"       5";"       7";"       9";"      10";"       1";"       6";"      13";"       3";"       2";"       5";"      77"
"26";"PV20  ";"2011JJ00";"      63";"      37";"       8";"       7";"       7";"       9";"       2";"       5";"      10";"       3";"       2";"       4";"      81"
"27";"PV20  ";"2012JJ00";"      64";"      36";"       5";"      10";"       7";"       8";"       2";"       4";"      12";"       3";"       2";"       3";"      80"
"28";"PV20  ";"2013JJ00";"      64";"      36";"       6";"       8";"       7";"       8";"       2";"       6";"      10";"       3";"       2";"       4";"      80"
"29";"PV20  ";"2014JJ00";"      66";"      34";"       5";"       8";"       6";"       6";"       2";"       6";"      11";"       3";"       2";"       3";"      81"
"30";"PV21  ";"2010JJ00";"      55";"      45";"       6";"      16";"      10";"       8";"       1";"       4";"      11";"       5";"       4";"       5";"      75"
"31";"PV21  ";"2011JJ00";"      53";"      48";"       7";"      15";"      10";"       9";"       1";"       6";"      14";"       6";"       4";"       5";"      72"
"32";"PV21  ";"2012JJ00";"      53";"      47";"       7";"      17";"      10";"       8";"       1";"       4";"      13";"       5";"       3";"       6";"      73"
"33";"PV21  ";"2013JJ00";"      54";"      46";"       8";"      12";"       9";"       9";"       1";"       6";"      10";"       5";"       4";"       5";"      75"
"34";"PV21  ";"2014JJ00";"      58";"      42";"       5";"      15";"       7";"       8";"       1";"       5";"      10";"       4";"       3";"       6";"      77"
"35";"PV22  ";"2010JJ00";"      55";"      45";"       9";"      10";"      14";"       6";"       1";"       5";"       9";"       5";"       4";"       5";"      77"
"36";"PV22  ";"2011JJ00";"      55";"      45";"       8";"      10";"      14";"       6";"       1";"       6";"       9";"       5";"       3";"       5";"      79"
"37";"PV22  ";"2012JJ00";"      59";"      41";"       8";"       8";"      14";"       5";"       1";"       6";"       9";"       3";"       3";"       6";"      80"
"38";"PV22  ";"2013JJ00";"      60";"      40";"      10";"       5";"      11";"       7";"       1";"       6";"       9";"       4";"       2";"       5";"      81"
"39";"PV22  ";"2014JJ00";"      61";"      39";"       8";"       8";"      10";"       6";"       1";"       6";"      10";"       4";"       3";"       4";"      79"
"40";"PV23  ";"2010JJ00";"      39";"      61";"      26";"       8";"      14";"       6";"       3";"       4";"      13";"       6";"       5";"       8";"      68"
"41";"PV23  ";"2011JJ00";"      42";"      58";"      25";"       7";"      12";"       6";"       3";"       5";"      13";"       6";"       5";"       8";"      68"
"42";"PV23  ";"2012JJ00";"      43";"      57";"      22";"       7";"      12";"       7";"       3";"       7";"      16";"       5";"       3";"       8";"      68"
"43";"PV23  ";"2013JJ00";"      43";"      56";"      23";"       7";"      11";"       7";"       3";"       6";"      15";"       5";"       4";"       7";"      69"
"44";"PV23  ";"2014JJ00";"      43";"      57";"      22";"       8";"      12";"       7";"       4";"       5";"      14";"       4";"       4";"       8";"      70"
"45";"PV24  ";"2010JJ00";"      53";"      47";"      12";"       9";"       5";"       6";"       5";"      10";"      15";"       3";"       3";"       4";"      75"
"46";"PV24  ";"2011JJ00";"      56";"      44";"      12";"       7";"       4";"       8";"       4";"       8";"      14";"       4";"       3";"       4";"      75"
"47";"PV24  ";"2012JJ00";"      58";"      42";"      12";"       6";"       6";"       4";"       5";"       8";"      13";"       3";"       3";"       4";"      78"
"48";"PV24  ";"2013JJ00";"      55";"      45";"      14";"       6";"       5";"       6";"       6";"       8";"      14";"       2";"       3";"       4";"      77"
"49";"PV24  ";"2014JJ00";"      54";"      46";"      13";"       6";"       4";"       6";"       6";"      10";"      16";"       3";"       2";"       5";"      74"
"50";"PV25  ";"2010JJ00";"      42";"      59";"      24";"       8";"      14";"       4";"       3";"       5";"      12";"       5";"       4";"       8";"      72"
"51";"PV25  ";"2011JJ00";"      44";"      56";"      24";"       7";"      12";"       5";"       3";"       5";"      12";"       4";"       4";"       8";"      73"
"52";"PV25  ";"2012JJ00";"      44";"      56";"      23";"       7";"      13";"       4";"       4";"       5";"      13";"       4";"       3";"       6";"      74"
"53";"PV25  ";"2013JJ00";"      44";"      56";"      23";"       8";"      13";"       4";"       3";"       5";"      12";"       4";"       3";"       7";"      74"
"54";"PV25  ";"2014JJ00";"      47";"      53";"      21";"       7";"      12";"       4";"       4";"       5";"      12";"       4";"       3";"       6";"      75"
"55";"PV26  ";"2010JJ00";"      48";"      52";"      17";"       8";"       9";"       5";"       6";"       6";"      12";"       4";"       3";"       7";"      74"
"56";"PV26  ";"2011JJ00";"      53";"      47";"      18";"       7";"       8";"       5";"       6";"       5";"      11";"       4";"       3";"       6";"      76"
"57";"PV26  ";"2012JJ00";"      52";"      48";"      17";"       7";"       8";"       4";"       6";"       6";"      12";"       4";"       3";"       6";"      76"
"58";"PV26  ";"2013JJ00";"      52";"      48";"      17";"       7";"       9";"       4";"       5";"       8";"      11";"       5";"       3";"       6";"      76"
"59";"PV26  ";"2014JJ00";"      53";"      47";"      16";"       7";"       7";"       5";"       6";"       6";"      12";"       4";"       3";"       7";"      75"
"60";"PV27  ";"2010JJ00";"      61";"      39";"      19";"       4";"       3";"       2";"       5";"       6";"       6";"       3";"       3";"       5";"      83"
"61";"PV27  ";"2011JJ00";"      62";"      39";"      17";"       4";"       4";"       2";"       6";"       6";"       7";"       3";"       2";"       5";"      82"
"62";"PV27  ";"2012JJ00";"      61";"      39";"      19";"       4";"       3";"       2";"       7";"       5";"       7";"       2";"       3";"       5";"      83"
"63";"PV27  ";"2013JJ00";"      60";"      40";"      18";"       3";"       4";"       2";"       7";"       7";"       7";"       3";"       3";"       5";"      83"
"64";"PV27  ";"2014JJ00";"      62";"      38";"      17";"       3";"       4";"       1";"       6";"       7";"       6";"       2";"       2";"       6";"      83"
"65";"PV28  ";"2010JJ00";"      49";"      51";"      16";"       7";"       9";"       4";"       8";"       7";"      13";"       4";"       4";"       6";"      74"
"66";"PV28  ";"2011JJ00";"      50";"      50";"      15";"       7";"       9";"       4";"       8";"       7";"      13";"       3";"       3";"       6";"      75"
"67";"PV28  ";"2012JJ00";"      51";"      49";"      15";"       7";"       9";"       4";"       8";"       8";"      12";"       4";"       3";"       5";"      76"
"68";"PV28  ";"2013JJ00";"      50";"      50";"      16";"       6";"       9";"       3";"       8";"       8";"      13";"       4";"       3";"       6";"      76"
"69";"PV28  ";"2014JJ00";"      52";"      49";"      15";"       7";"       8";"       3";"       8";"       8";"      13";"       4";"       3";"       6";"      75"
"70";"PV29  ";"2010JJ00";"      44";"      56";"      18";"      11";"      12";"       8";"       2";"       5";"      16";"       5";"       3";"       7";"      69"
"71";"PV29  ";"2011JJ00";"      46";"      54";"      18";"      12";"       9";"       9";"       2";"       5";"      18";"       4";"       2";"       5";"      70"
"72";"PV29  ";"2012JJ00";"      48";"      52";"      17";"      11";"      11";"       8";"       1";"       4";"      15";"       3";"       2";"       4";"      75"
"73";"PV29  ";"2013JJ00";"      43";"      57";"      18";"       8";"      13";"       8";"       2";"       8";"      20";"       3";"       3";"       5";"      70"
"74";"PV29  ";"2014JJ00";"      47";"      53";"      16";"      12";"       9";"       8";"       3";"       6";"      21";"       4";"       2";"       5";"      68"
"75";"PV30  ";"2010JJ00";"      32";"      69";"      55";"       3";"       2";"       1";"       4";"       3";"       6";"       3";"       4";"      13";"      73"
"76";"PV30  ";"2011JJ00";"      32";"      68";"      55";"       3";"       3";"       1";"       4";"       3";"       7";"       4";"       4";"      12";"      74"
"77";"PV30  ";"2012JJ00";"      35";"      65";"      53";"       2";"       2";"       1";"       4";"       3";"       5";"       3";"       4";"      10";"      78"
"78";"PV30  ";"2013JJ00";"      34";"      66";"      53";"       2";"       3";"       1";"       5";"       3";"       6";"       3";"       4";"      10";"      78"
"79";"PV30  ";"2014JJ00";"      38";"      62";"      49";"       2";"       2";"       1";"       4";"       3";"       5";"       3";"       3";"      10";"      79"
"80";"PV31  ";"2010JJ00";"      21";"      79";"      72";"       1";"       1";"       1";"       3";"       2";"       7";"       4";"       7";"      17";"      65"
"81";"PV31  ";"2011JJ00";"      23";"      77";"      69";"       1";"       1";"       0";"       3";"       2";"       6";"       3";"       5";"      15";"      71"
"82";"PV31  ";"2012JJ00";"      24";"      76";"      68";"       1";"       1";"       0";"       4";"       2";"       6";"       4";"       5";"      14";"      72"
"83";"PV31  ";"2013JJ00";"      23";"      77";"      67";"       1";"       1";"       0";"       5";"       3";"       7";"       3";"       5";"      14";"      72"
"84";"PV31  ";"2014JJ00";"      25";"      75";"      66";"       1";"       1";"       0";"       4";"       2";"       6";"       4";"       5";"      13";"      73"
